concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
3551669	Did not attend asthma clinic	Observation	SNOMED	Undefined		102281000000108	19700101	20040131	U
3576514	Exception reporting: asthma quality indicators	Observation	SNOMED	Undefined		103131000000109	19700101	20040131	D
3576515	Excepted from asthma quality indicators: Patient unsuitable	Observation	SNOMED	Undefined		103141000000100	19700101	20040131	D
3576516	Excepted from asthma quality indicators: Informed dissent	Observation	SNOMED	Undefined		103151000000102	19700101	20040131	D
3548003	Acute severe exacerbation of asthma	Condition	SNOMED	Clinical Finding		1064771000000103	19700101	20170401	U
42690582	Moderate acute exacerbation of asthma	Condition	SNOMED	Clinical Finding		1064811000000103	20170401	20180401	U
42690663	Life threatening acute exacerbation of asthma	Condition	SNOMED	Clinical Finding		1064821000000109	20170401	20180401	U
42689544	Use of asthma symptom diary	Observation	SNOMED	Procedure		1065181000000104	20170401	20180401	U
46269767	Acute severe exacerbation of asthma co-occurrent with allergic rhinitis	Condition	SNOMED	Clinical Finding	S	10674711000119105	20150731	20991231	
37310241	Intermittent allergic asthma	Condition	SNOMED	Clinical Finding	S	10674991000119104	20200131	20991231	
37108580	Severe controlled persistent asthma	Condition	SNOMED	Clinical Finding	S	10675391000119101	20170731	20991231	
46269770	Severe persistent allergic asthma	Condition	SNOMED	Clinical Finding	S	10675431000119106	20150731	20991231	
46274059	Acute severe exacerbation of severe persistent allergic asthma	Condition	SNOMED	Clinical Finding	S	10675471000119109	20150731	20991231	
46269771	Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis	Condition	SNOMED	Clinical Finding	S	10675551000119104	20150731	20991231	
46269772	Severe persistent allergic asthma controlled	Condition	SNOMED	Clinical Finding	S	10675591000119109	20150731	20991231	
46269773	Severe persistent asthma controlled co-occurrent with allergic rhinitis	Condition	SNOMED	Clinical Finding	S	10675631000119109	20150731	20991231	
46269774	Severe persistent allergic asthma uncontrolled	Condition	SNOMED	Clinical Finding	S	10675671000119107	20150731	20991231	
46269775	Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis	Condition	SNOMED	Clinical Finding	S	10675711000119106	20150731	20991231	
37108581	Severe uncontrolled persistent asthma	Condition	SNOMED	Clinical Finding	S	10675751000119107	20170731	20991231	
46269776	Mild persistent allergic asthma	Condition	SNOMED	Clinical Finding	S	10675871000119106	20150731	20991231	
