ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
317009	4143828	2	2
317009	37208352	2	2
317009	45768910	1	1
257581	45772937	1	1
312950	4271333	1	1
317009	42538744	2	2
317009	4211530	2	2
317009	4233784	1	1
317009	40483397	1	1
317009	4145356	2	2
317009	313236	1	1
256448	40481763	1	1
317009	44810117	1	1
317009	257581	1	1
317009	46273635	1	1
317009	252658	2	2
317009	40481763	2	3
257581	45769441	2	2
317009	443801	1	1
317009	45768911	2	3
317009	37109103	2	2
317009	46269776	2	3
257581	45768911	1	1
317009	4143474	3	3
317009	4155469	1	1
317009	4301938	3	3
317009	4232595	3	3
317009	4142738	2	2
317009	4155470	1	1
312950	45769441	1	1
317009	4022592	3	3
317009	4057952	3	3
257581	46269771	3	4
317009	37108580	3	3
317009	4075237	1	1
317009	4217558	3	3
317009	42539549	2	2
317009	4206340	1	1
317009	4110051	1	1
317009	4141978	1	1
317009	45766728	2	3
317009	4212099	2	2
317009	42536649	2	2
317009	46274059	3	5
257581	4138760	1	1
317009	37108581	3	3
317009	761844	2	2
317009	4244339	2	2
317009	764677	1	1
317009	4155468	1	1
317009	4152913	1	1
317009	4271333	2	3
317009	4138760	2	2
317009	4145497	1	1
317009	4120261	3	3
317009	45768963	2	3
317009	43530693	2	2
317009	46269777	4	6
317009	4309833	2	2
317009	4191479	1	1
317009	45769350	3	4
317009	4312524	1	1
317009	45772937	2	3
317009	45772073	1	1
317009	4119298	1	1
317009	312950	2	2
317009	36684335	3	3
317009	42535716	1	1
317009	4225554	3	3
312950	45769442	2	2
317009	45769441	3	3
317009	45768912	2	3
317009	46269770	2	3
317009	256448	2	2
317009	45768964	2	3
317009	37310241	2	2
317009	4080516	3	3
317009	45766727	2	3
317009	4245676	2	2
317009	45768965	2	3
317009	46270322	2	2
317009	37206717	2	2
257581	36684335	2	2
317009	4146581	2	2
257581	45768912	1	1
257581	42538744	1	1
317009	46269784	2	3
317009	4051466	1	1
317009	4119300	2	3
317009	764949	2	2
317009	43530745	1	1
317009	4225553	3	3
317009	46269785	4	6
317009	46274062	1	1
764677	764949	1	1
317009	46269767	3	3
312950	46270030	1	1
4017025	4017182	1	1
4015948	4193019	1	1
4015948	4152417	1	1
4015948	4155465	1	1
4015948	44805093	1	1
4015948	44805091	1	1
4015948	4015951	1	1
4015948	4017191	2	2
4015951	4017192	1	1
4017026	4017293	1	1
4015948	4017192	2	2
4017025	4015947	1	1
4015948	44805092	1	1
4017025	4015819	1	1
4017183	4017184	1	1
4015951	4017191	1	1
4077802	4214588	1	1
4077802	44805526	1	1
4077802	4305736	1	1
4077802	44783610	2	2
4077802	4308378	2	2
4077802	42535849	1	1
4077802	4293733	1	1
4077802	4214589	1	1
4077802	4293732	1	1
4077802	4235703	1	1
4077802	37395677	1	1
4077802	4190879	2	2
4083422	44806313	1	1
4077802	4056816	1	1
4152913	45768965	2	2
4155468	4146581	1	1
4141978	46270322	1	1
4145497	42536649	1	1
4152913	37108580	2	2
4141978	37310241	1	1
4143828	45768911	1	1
4152913	45768912	2	2
4145497	45769443	2	2
4145356	46274059	2	3
4155469	46269784	2	2
4141978	4146581	1	1
4152913	45769350	3	3
4155468	46269776	2	2
4155469	45768964	2	2
4155468	45768911	2	2
4155469	4142738	1	1
4145356	46269770	1	1
4145356	45768965	1	1
4143828	46269776	1	1
4152913	4145356	1	1
4152913	37206717	1	1
4145356	45768912	1	1
4161595	4152911	1	1
4145356	45769350	2	2
4145356	37108581	1	1
4145497	45773005	1	1
4152913	46269770	2	2
4155468	45768963	2	2
4152913	37108581	2	2
4143828	45768963	1	1
4161595	4156136	1	1
4142738	45768964	1	1
4155469	45772937	2	2
4155468	4143828	1	1
4142738	46269784	1	1
4141978	4138760	1	1
4145356	37108580	1	1
4152913	37208352	1	1
4145497	252658	1	1
4152913	46274059	3	4
4145497	35609847	3	3
4142738	45772937	1	1
4191479	45769441	2	2
4191479	4211530	1	1
4199706	4080963	1	1
4212099	4022592	1	1
4191479	4271333	2	2
4265861	44792263	1	1
4202191	4085315	1	1
4203281	45770425	1	1
4191479	46269776	1	1
4265861	44792264	1	1
4191479	46273462	2	3
4265861	44792262	1	1
4265861	44799960	1	1
4245676	4120261	1	1
4265861	44788789	1	1
4265861	44810131	1	1
4245676	45766728	1	1
4191479	42539549	1	1
4202191	4088883	1	1
4191479	4309833	1	1
4212099	4232595	1	1
4191479	45766728	1	1
4265861	44788824	1	1
4212099	4143474	1	1
4212099	4225553	1	1
4203281	4090836	1	1
4191479	36684335	2	2
4199706	4080964	1	1
4191479	45769442	3	3
4265861	44807733	1	1
4191479	312950	1	1
4245676	45766727	1	1
4265861	44788825	1	1
4203281	4085316	1	1
4199706	4082252	1	1
4199706	4080962	1	1
4265861	44807127	1	1
4212099	4080516	1	1
4203281	46287045	2	2
4191479	36684328	2	2
4199706	4082254	1	1
4203281	45770428	1	1
4191827	44805089	1	1
4245676	4225554	1	1
4212099	4225554	1	1
4199706	4057273	1	1
4191479	46269784	1	1
4206340	4271333	1	1
4203281	4090837	1	1
4191479	42538744	1	1
4191479	45766727	1	1
4212099	4217558	1	1
4191827	4152292	1	1
4203281	46284992	2	2
4235703	44783610	1	1
4191479	35609846	3	3
4206340	252658	1	1
4202191	4086120	1	1
4191479	46269770	1	1
4191479	4119300	1	1
4212099	4057952	1	1
4203281	46284991	2	2
4202191	4193023	1	1
4191479	46274059	2	3
4265861	44792265	1	1
4191827	44805087	1	1
4244339	4250128	1	1
4191479	37310241	1	1
4265861	44788781	1	1
4191479	46274124	2	3
4202191	4148757	1	1
4203281	4086119	1	1
4212099	4119300	1	1
4265861	44788780	1	1
4203281	4085318	1	1
4233784	40481763	2	2
4245676	4250128	1	1
4265861	44788779	1	1
4233784	256448	1	1
4212099	4301938	1	1
4308356	46269779	2	2
4308356	44792262	2	2
4312524	4217558	2	2
4308356	44788825	2	2
4308356	46269790	1	1
4308356	36674599	1	1
4308356	4156136	2	2
4308356	44799960	2	2
4308356	44805087	2	2
4308356	44788789	2	2
4308356	4015947	2	2
4312524	4244339	1	1
4308356	4017025	1	1
4308356	46269775	2	2
4308356	46274060	1	1
4308356	4017183	1	1
4312524	4057952	2	2
4293727	44802476	1	1
4308356	4194289	1	1
4308356	44792265	2	2
4312524	4211530	1	1
4308356	44788779	2	2
4312524	45766728	2	2
4305736	4308378	1	1
4308356	4265861	1	1
4308356	46269789	2	2
4312524	4119300	2	2
4308356	4017184	2	2
4308356	4207479	1	1
4312524	4250128	2	2
4308356	4017026	1	1
4308356	46269780	1	1
4308356	4152911	2	2
4305736	4190879	1	1
4308356	44807733	2	2
4308356	44788824	2	2
4308356	46269788	1	1
4308356	46269773	2	2
4308356	44810131	2	2
4308356	46269781	1	1
4279553	252942	1	1
4308356	4017293	2	2
4308356	4015819	2	2
4308356	44788781	2	2
4312524	4301938	2	2
4293727	765656	1	1
4293727	765657	1	1
4308356	46269786	1	1
4308356	46269782	2	2
4312524	4143474	2	2
4308356	4191827	1	1
4308356	4152418	1	1
4312524	4120261	2	2
4308356	46269787	2	2
4293727	44802478	1	1
4308356	44792264	2	2
4308356	46269783	1	1
4312524	45766727	2	2
4308356	4155473	1	1
4308356	44807127	2	2
4308356	44788780	2	2
4308356	4161595	1	1
4312524	4080516	2	2
4312524	4225553	2	2
4308356	4152292	2	2
4308356	4152420	1	1
4312524	4232595	2	2
4312524	4245676	1	1
4308356	46269772	1	1
4308356	46269774	1	1
4308356	46269778	1	1
4308356	4017182	2	2
4312524	4022592	2	2
4312524	4212099	1	1
4293727	44802477	1	1
4308356	44805089	2	2
4308356	46270573	1	1
4308356	44792263	2	2
4312524	4225554	2	2
257581	46274059	3	3
312950	3661412	2	2
257581	46274124	3	3
257581	36684328	2	2
257581	46269777	3	4
317009	42536208	2	2
317009	46270029	3	4
317009	37116845	3	3
257581	46269802	1	1
317009	45769352	3	4
257581	37206717	1	1
312950	46269771	2	3
317009	3661412	2	4
257581	46269767	2	2
257581	45769350	2	2
257581	45773005	1	1
36684328	46273462	1	1
36684328	35609846	1	1
312950	4123253	1	1
317009	45769442	4	4
36684328	45769442	1	1
36684328	46274124	1	1
36684328	46274059	1	1
317009	35609847	4	4
37208964	37310868	1	1
317009	46269771	4	6
40483397	3661412	1	1
40483397	4123253	1	1
42538744	36684328	1	1
42538744	46274059	2	2
317009	45769443	3	3
42538744	35609846	2	2
42538744	45769442	2	2
42538744	45769441	1	1
42536207	35609846	1	1
42536207	35609847	1	1
42538744	46274124	2	2
42538744	36684335	1	1
42538744	46273462	2	2
257581	37116845	2	2
257581	35609846	3	3
317009	42536207	3	3
257581	35609847	3	3
44803641	44803764	1	1
317009	46270030	3	3
312950	46270029	1	1
44803641	37208759	1	1
317009	46273462	3	5
44803641	44813771	1	1
45769352	46274124	1	1
257581	42536208	1	1
257581	46273462	3	3
45772937	46269785	3	3
45769438	45769443	1	1
45768912	46274059	2	2
45770425	46287045	1	1
45773005	45769443	1	1
45768910	42536649	1	1
45768910	42539549	1	1
45768910	45768963	1	1
45768912	45769350	1	1
45768910	45768965	1	1
45769438	35609846	2	2
317009	4123253	2	3
257581	45769443	2	2
45768910	45768964	1	1
45769438	36684328	1	1
45769438	45769442	2	2
45769438	45769352	1	1
257581	43530693	1	1
45769438	46269767	1	1
317009	46273454	3	4
317009	46269802	2	2
45770425	46284992	1	1
45769438	45769350	1	1
45769351	46273462	1	1
45769438	37116845	1	1
45769438	46273462	2	2
45769438	45769351	1	1
257581	46273452	3	3
45769443	35609847	1	1
45769438	35609847	2	2
45769438	42536207	1	1
45770425	46284991	1	1
312950	46269777	2	3
45769350	46274059	1	1
45769438	46274124	2	2
45769438	46274059	2	2
45773005	35609847	2	2
45768911	46269777	3	3
312950	46273452	2	2
312950	46270028	1	1
45769441	45769442	1	1
317009	45773005	2	2
257581	45769438	1	1
317009	45769438	2	2
312950	46273454	1	1
257581	3661412	3	3
46269783	46269787	1	1
257581	45769352	2	2
46269767	46269785	1	1
46273635	761844	1	1
317009	4250128	2	3
46269772	46269773	1	1
46270028	46269771	1	1
46269790	46269789	1	1
317009	36684328	3	3
46273635	37109103	1	1
46269778	46269779	1	1
46269767	46269771	1	1
46269784	46273462	1	1
46269781	46269782	1	1
46269767	46269777	1	1
46269774	46269775	1	1
46269776	46274124	1	1
46273454	46269785	1	1
46269770	46274059	1	1
46270029	46269777	1	1
46269767	46269767	0	0
37310241	37310241	0	0
37108580	37108580	0	0
46269770	46269770	0	0
46274059	46274059	0	0
46269771	46269771	0	0
46269772	46269772	0	0
46269773	46269773	0	0
46269774	46269774	0	0
46269775	46269775	0	0
37108581	37108581	0	0
46269776	46269776	0	0
