concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
46270082	45768911	Concept same_as to	20210731	20991231	
40336554	4051466	Concept poss_eq to	20030131	20991231	
40336554	4191479	Concept poss_eq to	20030131	20991231	
4017188	4077802	Concept poss_eq to	20210131	20991231	
40395540	4233784	Concept poss_eq to	20020131	20991231	
40395874	4051466	Concept poss_eq to	20020131	20991231	
40395874	4191479	Concept poss_eq to	20020131	20991231	
40395891	317009	Concept poss_eq to	20020131	20991231	
40395891	443801	Concept poss_eq to	20020131	20991231	
40410639	317009	Concept poss_eq to	20020131	20991231	
40410639	4051466	Concept poss_eq to	20020131	20991231	
40410639	4191479	Concept poss_eq to	20020131	20991231	
40410639	4233784	Concept poss_eq to	20020131	20991231	
40436408	4051466	Concept poss_eq to	20020131	20991231	
40436408	4191479	Concept poss_eq to	20020131	20991231	
36308969	36308969	Mapped from	20180615	20991231	
36308969	36308969	Maps to	20180615	20991231	
4144757	45768912	Concept poss_eq to	20150731	20991231	
40302112	317009	Maps to value	20220801	20991231	
36674432	36674432	Mapped from	20190131	20991231	
36674432	36674432	Maps to	20190131	20991231	
36674599	36674599	Mapped from	20190131	20991231	
36674599	36674599	Maps to	20190131	20991231	
36674599	43021747	Concept poss_eq from	20190131	20991231	
36674599	43021747	Mapped from	20190131	20991231	
36674599	45442110	Mapped from	20200319	20991231	
36684328	36684328	Mapped from	20190131	20991231	
36684328	36684328	Maps to	20190131	20991231	
36684328	45769438	Is a	20190131	20991231	
36684328	45769442	Subsumes	20190131	20991231	
36684328	46273462	Subsumes	20190131	20991231	
36684328	46274059	Subsumes	20190131	20991231	
36684335	4147509	Concept poss_eq from	20190131	20991231	
36684335	4147509	Mapped from	20190131	20991231	
36684335	36684335	Mapped from	20190131	20991231	
36684335	36684335	Maps to	20190131	20991231	
317009	4059321	Value mapped from	20220801	20991231	
37019481	1019277	Has component	20191213	20991231	
37019481	37019481	Mapped from	20190621	20991231	
37019481	37019481	Maps to	20190621	20991231	
37019481	37021412	Contained in panel	19700101	20991231	
37019491	37019491	Mapped from	20190621	20991231	
37019491	37019491	Maps to	20190621	20991231	
37019491	37021412	Contained in panel	19700101	20991231	
37019874	1019268	Has component	20191213	20991231	
37019874	37019874	Mapped from	20190621	20991231	
37019874	37019874	Maps to	20190621	20991231	
37019874	37021412	Contained in panel	19700101	20991231	
37020406	1019283	Has component	20191213	20991231	
37020406	37020406	Mapped from	20190621	20991231	
37020406	37020406	Maps to	20190621	20991231	
37020406	37021412	Contained in panel	19700101	20991231	
37020515	1019284	Has component	20191213	20991231	
37020515	37020515	Mapped from	20190621	20991231	
37020515	37020515	Maps to	20190621	20991231	
37020515	37021412	Contained in panel	19700101	20991231	
37020600	37020600	Mapped from	20190621	20991231	
37020600	37020600	Maps to	20190621	20991231	
37020600	37021412	Contained in panel	19700101	20991231	
37020726	37020726	Mapped from	20190621	20991231	
37020726	37020726	Maps to	20190621	20991231	
37020726	37021412	Contained in panel	19700101	20991231	
37020798	37020798	Mapped from	20190621	20991231	
37020798	37020798	Maps to	20190621	20991231	
37020798	37021412	Contained in panel	19700101	20991231	
37021006	1019273	Has component	20191213	20991231	
37021006	37021006	Mapped from	20190621	20991231	
37021006	37021006	Maps to	20190621	20991231	
37021006	37021412	Contained in panel	19700101	20991231	
37021412	37019481	Panel contains	19700101	20991231	
37021412	37019491	Panel contains	19700101	20991231	
37021412	37019874	Panel contains	19700101	20991231	
37021412	37020406	Panel contains	19700101	20991231	
37021412	37020515	Panel contains	19700101	20991231	
37021412	37020600	Panel contains	19700101	20991231	
37021412	37020726	Panel contains	19700101	20991231	
37021412	37020798	Panel contains	19700101	20991231	
37021412	37021006	Panel contains	19700101	20991231	
37021412	37021412	Mapped from	20190621	20991231	
37021412	37021412	Maps to	20190621	20991231	
37029192	37034850	Is a	19700101	20991231	
37029192	40758533	Subsumes	19700101	20991231	
37034850	37029192	Subsumes	19700101	20991231	
37034850	40758533	Component of	20191213	20991231	
37108581	37108581	Mapped from	20170731	20991231	
37108581	37108581	Maps to	20170731	20991231	
37109103	37109103	Mapped from	20170731	20991231	
37109103	37109103	Maps to	20170731	20991231	
37208056	37208056	Mapped from	20190731	20991231	
37208056	37208056	Maps to	20190731	20991231	
37208352	4152913	Is a	20190731	20991231	
37208352	37208352	Mapped from	20190731	20991231	
37208352	37208352	Maps to	20190731	20991231	
37310241	4141978	Is a	20200309	20991231	
37310241	4191479	Is a	20200309	20991231	
37310241	37310241	Mapped from	20200309	20991231	
37310241	37310241	Maps to	20200309	20991231	
37310762	37310762	Mapped from	20200309	20991231	
37310762	37310762	Maps to	20200309	20991231	
37310762	37310765	Has asso proc	20200309	20991231	
37310765	37310762	Asso proc of	20200309	20991231	
37310765	37310765	Mapped from	20200309	20991231	
37310765	37310765	Maps to	20200309	20991231	
37310868	37310868	Mapped from	20200309	20991231	
37310868	37310868	Maps to	20200309	20991231	
37395612	37395612	Mapped from	20160731	20991231	
37395612	37395612	Maps to	20160731	20991231	
40297857	4155473	Concept replaced by	20130131	20991231	
40297857	4155473	Concept same_as to	20140401	20991231	
40297857	4155473	Maps to	19700101	20991231	
