concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
46128528	Koenig Rutzen rubber ileostomy bag with screw outlet, large 161135 35mm Black (Salts Healthcare) 1 device	Device	SNOMED	Physical Object	S	6998511000001104	20060501	20991231	
44783747	Granular cell myoblastoma of tongue	Condition	SNOMED	Clinical Finding	S	699852000	20140131	20991231	
44783748	Labial ectopic tooth	Condition	SNOMED	Clinical Finding	S	699853005	20140131	20991231	
44783861	Funeral home	Observation	SNOMED	Location	S	699854004	20140131	20991231	
44783862	Myostatic contracture of muscle of mastication	Condition	SNOMED	Clinical Finding	S	699855003	20140131	20991231	
44783863	Removable partial denture not esthetic	Condition	SNOMED	Clinical Finding	S	699856002	20140131	20991231	
44783864	Complete denture not esthetic	Condition	SNOMED	Clinical Finding	S	699857006	20140131	20991231	
44783865	Infection of infraorbital space	Condition	SNOMED	Clinical Finding	S	699858001	20140131	20991231	
44783866	Myofibrotic contracture of muscle of mastication	Condition	SNOMED	Clinical Finding	S	699859009	20140131	20991231	
44783867	Minimal maxillary ridge support for denture	Condition	SNOMED	Clinical Finding	S	699860004	20140131	20991231	
40621260	Canine species	Observation	SNOMED	Organism		69986009	20020131	20040131	D
44783868	Granulomatous inflammatory arthritis, dermatitis and uveitis, familial	Condition	SNOMED	Clinical Finding	S	699861000	20140131	20991231	
3584574	Mechanical failure of instrument or apparatus during other perfusion	Observation	SNOMED	Event		699861000000105	20100401	20110401	D
45995296	Koenig Rutzen WP MB ileostomy bag with screw outlet, small 168225 25mm (Salts Healthcare)	Device	SNOMED	Physical Object	S	6998611000001100	20060501	20991231	
44783869	Maxilla finding	Condition	SNOMED	Clinical Finding	S	699862007	20140131	20991231	
44783870	Maxilla residual ridge observable	Observation	SNOMED	Observable Entity	S	699863002	20140131	20991231	
44783871	Maxilla residual ridge finding	Condition	SNOMED	Clinical Finding	S	699864008	20140131	20991231	
44783872	Maxillary residual ridge resists vertical and horizontal movement	Condition	SNOMED	Clinical Finding		699865009	20140131	20150731	D
44783873	Brown-Vialetto-Van Laere syndrome	Condition	SNOMED	Clinical Finding	S	699866005	20140131	20991231	
44783874	Duane-radial ray syndrome	Condition	SNOMED	Clinical Finding	S	699867001	20140131	20991231	
44783875	Suture material submitted as specimen	Specimen	SNOMED	Specimen	S	699868006	20140131	20991231	
44783876	Interleukin-1 receptor-associated kinase 4 deficiency	Condition	SNOMED	Clinical Finding	S	699869003	20140131	20991231	
4321535	Structure of zygomatico-orbital artery	Spec Anatomic Site	SNOMED	Body Structure	S	69987000	20020131	20991231	
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	Condition	SNOMED	Clinical Finding		699870002	20140131	20210131	U
3541915	Accidental fall into manhole, unspecified	Observation	SNOMED	Event		699871000000103	20100401	20220127	D
44783878	Congenital penile adhesion	Condition	SNOMED	Clinical Finding	S	699871003	20140131	20991231	
46128529	Rubber ileostomy night bag with screw outlet WM 09 19mm Black (Ward Surgical & Supplies Ltd) 1 device	Device	SNOMED	Physical Object	S	6998711000001109	20060501	20991231	
44783879	Influenza A virus untyped strain present	Measurement	SNOMED	Clinical Finding	S	699872005	20140131	20991231	
44783880	Collection of blood via arterial catheter	Procedure	SNOMED	Procedure	S	699873000	20140131	20991231	
44783881	Tissue specimen from pericardium	Specimen	SNOMED	Specimen	S	699874006	20140131	20991231	
44783882	Traumatic transtibiofibular amputation	Condition	SNOMED	Clinical Finding	S	699875007	20140131	20991231	
44783883	Varix of vocal cord	Condition	SNOMED	Clinical Finding	S	699876008	20140131	20991231	
44783884	Pneumocystis carinii	Observation	SNOMED	Organism	S	699877004	20140131	20991231	
44783885	Structure of pelvic region of trunk of female	Spec Anatomic Site	SNOMED	Body Structure	S	699878009	20140131	20991231	
44783886	Structure of female genital system subdivision	Spec Anatomic Site	SNOMED	Body Structure	S	699879001	20140131	20991231	
44783887	Structure of genitourinary system subdivision	Spec Anatomic Site	SNOMED	Body Structure	S	699880003	20140131	20991231	
4320654	Structure of annulus fibrosus of intervertebral disc of seventh cervical vertebra	Spec Anatomic Site	SNOMED	Body Structure	S	69988005	20020131	20991231	
3541916	Mechanical failure of instrument or apparatus during perfusion, NOS	Observation	SNOMED	Event		699881000000101	20100401	20110401	U
44783888	Structure of genitourinary tract	Spec Anatomic Site	SNOMED	Body Structure	S	699881004	20140131	20991231	
45995297	NaturCare deodorant pump spray 1100 (Opus Healthcare)	Device	SNOMED	Physical Object	S	6998811000001101	20060501	20991231	
44783889	Structure of male genital system subdivision	Spec Anatomic Site	SNOMED	Body Structure	S	699882006	20140131	20991231	
44783890	Structure of male genitourinary tract	Spec Anatomic Site	SNOMED	Body Structure	S	699883001	20140131	20991231	
44783891	Structure of female genitourinary tract	Spec Anatomic Site	SNOMED	Body Structure	S	699884007	20140131	20991231	
44783892	Structure of male genital duct	Spec Anatomic Site	SNOMED	Body Structure	S	699885008	20140131	20991231	
44783893	Structure of female internal genital organ	Spec Anatomic Site	SNOMED	Body Structure	S	699886009	20140131	20991231	
44783894	Acute female pelvic cellulitis	Condition	SNOMED	Clinical Finding	S	699887000	20140131	20991231	
44783895	Structure of skin of anterior part of lower limb	Spec Anatomic Site	SNOMED	Body Structure	S	699888005	20140131	20991231	
44783896	Structure of skin of anterior part of scrotum	Spec Anatomic Site	SNOMED	Body Structure	S	699889002	20140131	20991231	
44783897	Skin structure of anterior superior iliac spine region of trunk	Spec Anatomic Site	SNOMED	Body Structure	S	699890006	20140131	20991231	
4289161	Adjust partial denture, lower	Procedure	SNOMED	Procedure	S	69989002	20020131	20991231	
3541917	Mechanical failure of instrument or apparatus during aspiration of fluid or tissue, puncture or catheterisation, NOS	Observation	SNOMED	Event		699891000000104	20100401	20110401	U
44783898	Skin structure of axillary fossa	Spec Anatomic Site	SNOMED	Body Structure		699891005	20140131	20190731	D
46128530	K+IC sheath 103.26 26mm (Manfred Sauer UK Ltd) 30 device	Device	SNOMED	Physical Object	S	6998911000001106	20060501	20991231	
44783899	Skin structure of back of lower thoracic region	Spec Anatomic Site	SNOMED	Body Structure	S	699892003	20140131	20991231	
44783900	Skin structure of back of upper thoracic region	Spec Anatomic Site	SNOMED	Body Structure	S	699893008	20140131	20991231	
44783901	Skin structure of center of anterior chest	Spec Anatomic Site	SNOMED	Body Structure	S	699894002	20140131	20991231	
44783902	Skin structure of costal region of chest wall	Spec Anatomic Site	SNOMED	Body Structure	S	699895001	20140131	20991231	
44783903	Skin structure of anteromedial surface of elbow	Spec Anatomic Site	SNOMED	Body Structure	S	699896000	20140131	20991231	
44783904	Skin structure of distal plantar part of heel	Spec Anatomic Site	SNOMED	Body Structure	S	699897009	20140131	20991231	
44783905	Pretarsal skin structure of eyelid	Spec Anatomic Site	SNOMED	Body Structure	S	699898004	20140131	20991231	
44783906	Skin structure of femoral triangle	Spec Anatomic Site	SNOMED	Body Structure	S	699899007	20140131	20991231	
44783907	Skin structure of frontal region of scalp	Spec Anatomic Site	SNOMED	Body Structure	S	699900002	20140131	20991231	
4289738	Excision of fibroadenoma of breast	Procedure	SNOMED	Procedure	S	69990006	20020131	20991231	
4289162	Ammonium compound	Observation	SNOMED	Substance	S	6999006	20020131	20991231	
3541918	Other specified tenoplasty	Procedure	SNOMED	Procedure		699901000000103	20100401	20111003	U
3584575	Metrozol 500mg/100mL infusion	Observation	SNOMED	Context-dependent		699901000001104	20040131	20040731	D
46128531	Conveen EasiCath catheter female 10Ch 5370 (Coloplast Ltd) 25 catheter	Device	SNOMED	Physical Object	S	6999011000001102	20060501	20991231	
44783908	Skin structure of inferior part of scrotum	Spec Anatomic Site	SNOMED	Body Structure	S	699902005	20140131	20991231	
44783909	Skin structure of ischial tuberosity subregion of buttock region	Spec Anatomic Site	SNOMED	Body Structure	S	699903000	20140131	20991231	
44783910	Skin structure of lateral chest wall	Spec Anatomic Site	SNOMED	Body Structure	S	699904006	20140131	20991231	
44782595	Entire skin of lateral cubital region of upper limb	Spec Anatomic Site	SNOMED	Body Structure	S	699905007	20140131	20991231	
44783911	Skin structure of lateral half of anterior abdominal wall	Spec Anatomic Site	SNOMED	Body Structure	S	699906008	20140131	20991231	
44783912	Skin structure of lateral half of face	Spec Anatomic Site	SNOMED	Body Structure	S	699907004	20140131	20991231	
44783913	Entire skin of left half of neck	Spec Anatomic Site	SNOMED	Body Structure	S	699908009	20140131	20991231	
44783914	Skin structure of lateral part of heel	Spec Anatomic Site	SNOMED	Body Structure	S	699909001	20140131	20991231	
44782596	Skin structure of lateral part of lower limb	Spec Anatomic Site	SNOMED	Body Structure	S	699910006	20140131	20991231	
40621266	Takahe	Observation	SNOMED	Organism		69991005	20020131	20070131	U
3541919	Foot arthritis NOS	Condition	SNOMED	Clinical Finding		699911000000101	20100401	20110401	U
45976487	Flucloxacillin 250mg capsules (Accord Healthcare Ltd)	Drug	SNOMED	Pharma/Biol Product		699911000001102	20060501	20991231	
44783915	Skin structure of lateral part of scrotum	Spec Anatomic Site	SNOMED	Body Structure	S	699911005	20140131	20991231	
45995298	Rubber ileostomy night bag with screw outlet WM 09 35mm Black (Ward Surgical & Supplies Ltd)	Device	SNOMED	Physical Object	S	6999111000001101	20060501	20991231	
44783916	Skin structure of left half of neck	Spec Anatomic Site	SNOMED	Body Structure	S	699912003	20140131	20991231	
44783917	Skin structure of plantar part of longitudinal arch of foot	Spec Anatomic Site	SNOMED	Body Structure	S	699913008	20140131	20991231	
44783918	Skin structure of lower abdomen	Spec Anatomic Site	SNOMED	Body Structure	S	699914002	20140131	20991231	
44782597	Skin structure of lower chest wall	Spec Anatomic Site	SNOMED	Body Structure	S	699915001	20140131	20991231	
44783919	Skin structure of lumbar region of abdominal wall	Spec Anatomic Site	SNOMED	Body Structure	S	699916000	20140131	20991231	
44783920	Skin structure of mastoid region	Spec Anatomic Site	SNOMED	Body Structure	S	699917009	20140131	20991231	
44783921	Entire skin of medial cubital region of upper limb	Spec Anatomic Site	SNOMED	Body Structure	S	699918004	20140131	20991231	
44782598	Skin structure of medial part of heel	Spec Anatomic Site	SNOMED	Body Structure	S	699919007	20140131	20991231	
44783922	Skin structure of medial part of lower limb	Spec Anatomic Site	SNOMED	Body Structure	S	699920001	20140131	20991231	
4320655	Blood group antigen T	Observation	SNOMED	Substance	S	69992003	20020131	20991231	
3541920	Ankle arthritis NOS	Condition	SNOMED	Clinical Finding		699921000000107	20100401	20121001	U
44783923	Skin structure of nasal vestibule	Spec Anatomic Site	SNOMED	Body Structure	S	699921002	20140131	20991231	
46128532	Koenig Rutzen WP MB ileostomy bag with screw outlet, small 168225 25mm (Salts Healthcare) 1 device	Device	SNOMED	Physical Object	S	6999211000001107	20060501	20991231	
44782599	Skin structure of plantar part of heel	Spec Anatomic Site	SNOMED	Body Structure	S	699922009	20140131	20991231	
44783924	Entire skin of posterior cubital region of upper limb	Spec Anatomic Site	SNOMED	Body Structure	S	699923004	20140131	20991231	
44783925	Skin structure of posterior part of heel	Spec Anatomic Site	SNOMED	Body Structure	S	699924005	20140131	20991231	
44783926	Skin structure of posterior part of lower limb	Spec Anatomic Site	SNOMED	Body Structure	S	699925006	20140131	20991231	
44783927	Skin structure of posterior part of scrotum	Spec Anatomic Site	SNOMED	Body Structure	S	699926007	20140131	20991231	
44782600	Skin structure of posterior superior iliac crest region of back	Spec Anatomic Site	SNOMED	Body Structure	S	699927003	20140131	20991231	
44783928	Skin structure of renal area of posterior abdominal wall	Spec Anatomic Site	SNOMED	Body Structure	S	699928008	20140131	20991231	
44783929	Skin structure of right half of neck	Spec Anatomic Site	SNOMED	Body Structure	S	699929000	20140131	20991231	
44783930	Skin structure of shoulder and upper arm	Spec Anatomic Site	SNOMED	Body Structure	S	699930005	20140131	20991231	
4289739	Mevaldate reductase	Drug	SNOMED	Substance		69993008	20020131	20991231	
3541921	Knee arthritis NOS	Condition	SNOMED	Clinical Finding		699931000000109	20100401	20110401	U
44783931	Skin structure of superior iliac crest region of trunk	Spec Anatomic Site	SNOMED	Body Structure	S	699931009	20140131	20991231	
45995299	HiLINE seamless two way stretch unisex colostomy belt small Res 7 26cm White (Respond Healthcare Ltd)	Device	SNOMED	Physical Object	S	6999311000001104	20060501	20991231	
44782601	Entire skin of temple region of head	Spec Anatomic Site	SNOMED	Body Structure	S	699932002	20140131	20991231	
44783932	Entire skin of temporal region of head	Spec Anatomic Site	SNOMED	Body Structure	S	699933007	20140131	20991231	
44783933	Skin structure of thoracic and/or lumbar region of back	Spec Anatomic Site	SNOMED	Body Structure		699934001	20140131	20210731	D
44783934	Skin structure of upper abdomen	Spec Anatomic Site	SNOMED	Body Structure	S	699935000	20140131	20991231	
44782602	Skin structure of upper chest wall	Spec Anatomic Site	SNOMED	Body Structure	S	699936004	20140131	20991231	
44783935	Skin structure of upper thigh region	Spec Anatomic Site	SNOMED	Body Structure	S	699937008	20140131	20991231	
44783936	Skin structure of waist region of trunk	Spec Anatomic Site	SNOMED	Body Structure	S	699939006	20140131	20991231	
44783937	Skin structure of wrist and hand	Spec Anatomic Site	SNOMED	Body Structure	S	699940008	20140131	20991231	
4289740	Choristoneura conflicta entomopoxvirus	Observation	SNOMED	Organism	S	69994002	20020131	20991231	
3541922	Hip arthritis NOS	Condition	SNOMED	Clinical Finding		699941000000100	20100401	20110401	U
44782603	Entire lateral chest wall	Spec Anatomic Site	SNOMED	Body Structure	S	699941007	20140131	20991231	
46128533	NaturCare deodorant pump spray 1100 (Opus Healthcare) 50 ml	Device	SNOMED	Physical Object	S	6999411000001106	20060501	20991231	
44783938	Apatite-associated destructive arthritis of shoulder	Condition	SNOMED	Clinical Finding	S	699942000	20140131	20991231	
44783939	Congenital anomaly of vertebral region of back	Condition	SNOMED	Clinical Finding	S	699943005	20140131	20991231	
44782604	Bisoprolol therapy	Procedure	SNOMED	Procedure	S	699944004	20140131	20991231	
44783940	Main spoken language Bulgarian	Observation	SNOMED	Clinical Finding	S	699945003	20140131	20991231	
44783941	Nadroparin	Drug	SNOMED	Substance		699946002	20140131	20991231	
44782605	Nomegestrol	Drug	SNOMED	Substance		699947006	20140131	20991231	
44783942	Chorangioma	Observation	SNOMED	Morph Abnormality	S	699948001	20140131	20991231	
44782606	Retained placenta due to morbidly adherent placenta	Condition	SNOMED	Clinical Finding	S	699949009	20140131	20991231	
44783943	Anti-D isoimmunization affecting pregnancy	Condition	SNOMED	Clinical Finding	S	699950009	20140131	20991231	
4320769	3-hydroxyoctanoyl-[acyl-carrier-protein]-dehydratase	Drug	SNOMED	Substance		69995001	20020131	20991231	
3541923	Wrist arthritis NOS	Condition	SNOMED	Clinical Finding		699951000000102	20100401	20121001	U
44783944	Gas gangrene of lower limb	Condition	SNOMED	Clinical Finding	S	699951008	20140131	20991231	
44783945	Gas gangrene of upper limb	Condition	SNOMED	Clinical Finding	S	699952001	20140131	20991231	
44782607	Abscess of tendon of lower limb	Condition	SNOMED	Clinical Finding	S	699953006	20140131	20991231	
44783946	Abscess of tendon of upper limb	Condition	SNOMED	Clinical Finding	S	699954000	20140131	20991231	
44783947	Neoplasm of skeletal muscle	Condition	SNOMED	Clinical Finding	S	699955004	20140131	20991231	
44782608	Biceps brachii muscle and/or tendon structure	Spec Anatomic Site	SNOMED	Body Structure	S	699956003	20140131	20991231	
44783948	Triceps surae muscle and/or tendon structure	Spec Anatomic Site	SNOMED	Body Structure	S	699957007	20140131	20991231	
