concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
42003971	真駒内柏丘	Geography	OSM	9th level	S	7729194	19700101	20991231	
42003919	真駒内南町	Geography	OSM	9th level	S	7729195	19700101	20991231	
42003978	真駒内泉町	Geography	OSM	9th level	S	7729196	19700101	20991231	
42003936	真駒内幸町	Geography	OSM	9th level	S	7729197	19700101	20991231	
42008792	藻岩下	Geography	OSM	9th level	S	7729198	19700101	20991231	
42037722	Besthorpe CP	Geography	OSM	10th level	S	77292	19700101	20991231	
42083596	Forest Glen	Geography	OSM	10th level	S	7729263	19700101	20991231	
42043512	Girton CP	Geography	OSM	10th level	S	77293	19700101	20991231	
41928209	桂溪镇	Geography	OSM	8th level	S	7729489	19700101	20991231	
41928723	禹里镇	Geography	OSM	8th level	S	7729490	19700101	20991231	
41929216	陈家坝乡	Geography	OSM	8th level	S	7729497	19700101	20991231	
42051147	South Clifton CP	Geography	OSM	10th level	S	77295	19700101	20991231	
41923646	贯岭乡	Geography	OSM	8th level	S	7729502	19700101	20991231	
41928524	漩坪乡	Geography	OSM	8th level	S	7729505	19700101	20991231	
41927819	小坝乡	Geography	OSM	8th level	S	7729528	19700101	20991231	
41928624	白坭乡	Geography	OSM	8th level	S	7729529	19700101	20991231	
41928565	片口乡	Geography	OSM	8th level	S	7729535	19700101	20991231	
41927935	开坪乡	Geography	OSM	8th level	S	7729537	19700101	20991231	
41927625	坝底乡	Geography	OSM	8th level	S	7729546	19700101	20991231	
41928621	白什乡	Geography	OSM	8th level	S	7729551	19700101	20991231	
41989126	Wörpen	Geography	OSM	9th level	S	7729683	19700101	20991231	
41929274	马槽乡	Geography	OSM	8th level	S	7729684	19700101	20991231	
41927655	墩上乡	Geography	OSM	8th level	S	7729685	19700101	20991231	
41928219	桃龙藏族乡	Geography	OSM	8th level	S	7729686	19700101	20991231	
41929068	都坝乡	Geography	OSM	8th level	S	7729687	19700101	20991231	
41929255	青片乡	Geography	OSM	8th level	S	7729688	19700101	20991231	
41990149	Dittersdorf (Lößnitz)	Geography	OSM	10th level	S	7729783	19700101	20991231	
42053974	Wigsley CP	Geography	OSM	10th level	S	77298	19700101	20991231	
41936097	Brusque	Geography	OSM	8th level	S	77299	19700101	20991231	
41990770	Grüna (Lößnitz)	Geography	OSM	10th level	S	7730130	19700101	20991231	
41989279	Affalter	Geography	OSM	10th level	S	7730157	19700101	20991231	
41991670	Lenkersdorf	Geography	OSM	10th level	S	7730172	19700101	20991231	
41993224	Streitwald	Geography	OSM	10th level	S	7730173	19700101	20991231	
41991564	Kühnhaide	Geography	OSM	10th level	S	7730193	19700101	20991231	
42051247	Spalford CP	Geography	OSM	10th level	S	77302	19700101	20991231	
41989569	Beutha	Geography	OSM	10th level	S	7730292	19700101	20991231	
41914099	Vila Conceição	Geography	OSM	10th level	S	7730378	19700101	20991231	
41898480	Conjunto Habitacional João Roma	Geography	OSM	10th level	S	7730379	19700101	20991231	
41893037	Jardim Ambiental	Geography	OSM	10th level	S	7730380	19700101	20991231	
41893044	Jardim Ambiental II	Geography	OSM	10th level	S	7730381	19700101	20991231	
41897433	Jardim Joia do Tronco	Geography	OSM	10th level	S	7730382	19700101	20991231	
41956572	Rochecorbon	Geography	OSM	8th level	S	77304	19700101	20991231	
42031829	Tvärred distrikt	Geography	OSM	9th level	S	7730505	19700101	20991231	
42031479	Finnekumla distrikt	Geography	OSM	9th level	S	7730506	19700101	20991231	
42031447	Grönahögs distrikt	Geography	OSM	9th level	S	7730507	19700101	20991231	
42031501	Gällstad distrikt	Geography	OSM	9th level	S	7730508	19700101	20991231	
42031777	Södra Säm distrikt	Geography	OSM	9th level	S	7730509	19700101	20991231	
42031636	Marbäck distrikt	Geography	OSM	9th level	S	7730510	19700101	20991231	
42034290	Rushcliffe	Geography	OSM	8th level	S	77311	19700101	20991231	
41961837	Sari-Solenzara	Geography	OSM	8th level	S	77318	19700101	20991231	
41985407	Holtensen	Geography	OSM	9th level	S	7731904	19700101	20991231	
