ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
444187	36675191	3	4
441840	4089554	5	9
608417	36686392	1	1
607148	4172272	3	3
608298	4194457	7	9
603047	4111455	4	4
441840	442178	6	10
607147	4173551	4	4
444089	4340261	6	6
620056	4176033	3	3
441840	436031	6	12
441840	37310233	3	14
441840	35610224	5	7
441840	4112112	5	5
443783	36685071	5	5
255919	45765905	4	5
441840	763899	2	2
440921	4055715	4	7
441840	36712798	5	10
441840	42538843	6	10
441840	4032799	5	8
441840	4239693	5	6
441840	4240555	7	7
441840	40486066	7	10
441840	4231974	5	7
135930	78890	6	9
441840	256018	6	10
441840	4251188	4	8
441840	4069766	4	13
441840	4316499	7	10
441840	4120115	3	9
441840	40481431	6	8
607830	4061471	2	2
441840	37110788	5	12
373499	377291	3	7
619243	4308200	1	1
441840	4344038	6	10
77960	37108753	4	4
441840	4196030	5	6
439156	4033651	4	4
441840	42539688	6	10
440029	45757102	5	6
441840	44784272	2	5
441840	4059039	4	5
134057	761810	5	6
441840	4282150	4	4
444089	36675674	4	4
441840	4090593	5	5
135930	4204342	3	4
441840	37208025	5	10
375415	4334871	4	4
441840	4180804	5	7
437996	4189670	1	1
140190	36715771	5	6
441840	3656868	6	11
441840	4152858	5	9
441840	4112885	4	9
441840	192369	7	10
444363	4176541	4	7
255919	4090240	7	7
438112	135765	4	10
134057	46270070	2	8
441840	195074	5	7
134057	43020668	6	7
441840	4308386	6	8
441840	4033303	5	11
135930	4182010	2	3
435569	35622285	4	8
438112	4312558	4	7
441840	4264994	5	5
441840	600587	8	10
441840	4270556	6	6
441840	4129233	5	8
441840	4092472	8	9
441840	44804708	7	11
441840	4021359	3	3
134222	37110658	2	2
440029	4030750	7	7
441840	40487942	5	10
441840	4029447	5	9
140190	442775	4	6
441840	261071	3	10
441840	4284414	5	7
444363	606763	3	6
441840	4311612	6	10
135930	761240	5	9
200452	608062	6	6
441840	760051	6	16
438112	37396740	4	6
619741	42535505	6	7
444363	4171647	4	6
375415	604181	5	6
