concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
3045571	3045571	Mapped from	19700101	20991231	
3045571	3045571	Maps to	19700101	20991231	
3045571	37059163	Has component	20191213	20991231	
3045571	45876002	Is a	19700101	20991231	
3045572	1029672	Has property	20191213	20991231	
3045572	1029816	Has time aspect	20191213	20991231	
3045572	1033751	Has scale type	20191213	20991231	
3045572	3045572	Mapped from	19700101	20991231	
3045572	3045572	Maps to	19700101	20991231	
3045572	40654060	Is a	20180615	20991231	
3045572	40796111	Has component	20191213	20991231	
3045572	45876009	Is a	19700101	20991231	
3045574	1029636	Has property	20191213	20991231	
3045574	1029816	Has time aspect	20191213	20991231	
3045574	1033749	Has scale type	20191213	20991231	
3045574	3042647	Contained in panel	19700101	20991231	
3045574	3045574	Mapped from	19700101	20991231	
3045574	3045574	Maps to	19700101	20991231	
3045574	3046374	Contained in panel	19700101	20991231	
3045574	3046545	Contained in panel	19700101	20991231	
3045574	36210656	Is a	19700101	20991231	
3045574	45876109	Is a	19700101	20991231	
3045574	45877994	Has Answer	19700101	20991231	
3045574	45878245	Has Answer	19700101	20991231	
3045575	1029597	Has property	20191213	20991231	
3045575	1029816	Has time aspect	20191213	20991231	
3045575	3044078	Panel contains	19700101	20991231	
3045575	3045575	Mapped from	19700101	20991231	
3045575	3045575	Maps to	19700101	20991231	
3045575	36210656	Is a	19700101	20991231	
3045575	45876077	Is a	19700101	20991231	
3045577	1029636	Has property	20191213	20991231	
3045577	1029816	Has time aspect	20191213	20991231	
3045577	1030581	Has component	20191213	20991231	
3045577	3045577	Mapped from	19700101	20991231	
3045577	3045577	Maps to	19700101	20991231	
3045577	45875980	Is a	19700101	20991231	
3045578	1029816	Has time aspect	20191213	20991231	
3045578	1033751	Has scale type	20191213	20991231	
3045578	3045578	Mapped from	20060502	20991231	
3045578	3045578	Maps to	20060502	20991231	
3045578	36207527	Is a	19700101	20991231	
3045579	1015176	Has property	20191213	20991231	
3045579	1029816	Has time aspect	20191213	20991231	
3045579	1032362	Has system	20191213	20991231	
3045579	1033749	Has scale type	20191213	20991231	
3045579	3045579	Mapped from	19700101	20991231	
3045579	3045579	Maps to	19700101	20991231	
3045579	37037117	Is a	19700101	20991231	
3045579	45876016	Is a	19700101	20991231	
3045580	1029636	Has property	20191213	20991231	
3045580	1029816	Has time aspect	20191213	20991231	
3045580	3045549	Contained in panel	19700101	20991231	
3045580	3045580	Mapped from	19700101	20991231	
3045580	3045580	Maps to	19700101	20991231	
3045580	36210656	Is a	19700101	20991231	
3045580	45876109	Is a	19700101	20991231	
3045581	1015176	Has property	20191213	20991231	
3045581	1029816	Has time aspect	20191213	20991231	
3045581	1033749	Has scale type	20191213	20991231	
3045581	3045581	Mapped from	20060309	20991231	
3045581	3045581	Maps to	20060309	20991231	
3045581	4046243	Is a	20191213	20991231	
3045581	37037836	Is a	19700101	20991231	
3045581	45876016	Is a	19700101	20991231	
3045583	1029636	Has property	20191213	20991231	
3045583	1029816	Has time aspect	20191213	20991231	
3045583	3045583	Mapped from	20060125	20991231	
3045583	3045583	Maps to	20060125	20991231	
3045583	21498237	Has system	20191213	20991231	
3045583	45875980	Is a	19700101	20991231	
3045585	1029790	Has time aspect	20191213	20991231	
3045585	1033751	Has scale type	20191213	20991231	
3045585	3045585	Mapped from	19700101	20991231	
3045585	3045585	Maps to	19700101	20991231	
3045585	37066953	Has component	20191213	20991231	
3045585	45876002	Is a	19700101	20991231	
3045586	1029636	Has property	20191213	20991231	
3045586	1029816	Has time aspect	20191213	20991231	
3045586	3043541	Concept replaces	19700101	20991231	
3045586	3043541	Mapped from	19700101	20991231	
3045586	3045586	Mapped from	19700101	20991231	
3045586	3045586	Maps to	19700101	20991231	
3045586	36306984	Has system	20191213	20991231	
3045586	40654138	Is a	20180615	20991231	
3045586	40656988	Is a	20180615	20991231	
3045586	45875980	Is a	19700101	20991231	
3045591	1029672	Has property	20191213	20991231	
3045591	1029816	Has time aspect	20191213	20991231	
3045591	1032158	Has system	20191213	20991231	
3045591	1033751	Has scale type	20191213	20991231	
3045591	3045591	Mapped from	19700101	20991231	
3045591	3045591	Maps to	19700101	20991231	
3045591	40796111	Has component	20191213	20991231	
3045591	45876009	Is a	19700101	20991231	
3045594	1029691	Has property	20191213	20991231	
3045594	1029816	Has time aspect	20191213	20991231	
3045594	1033211	Has system	20191213	20991231	
3045594	1033751	Has scale type	20191213	20991231	
3045594	3045594	Mapped from	19700101	20991231	
3045594	3045594	Maps to	19700101	20991231	
3045594	37075925	Has component	20191213	20991231	
3045597	3020816	Concept replaced by	19700101	20991231	
3045597	3020816	Maps to	19700101	20991231	
3045597	40658091	Is a	20180615	20991231	
3045597	45876016	Is a	19700101	20991231	
3045602	1029636	Has property	20191213	20991231	
3045602	1029816	Has time aspect	20191213	20991231	
3045602	1030735	Has component	20191213	20991231	
3045602	3045602	Mapped from	20060313	20991231	
3045602	3045602	Maps to	20060313	20991231	
3045602	36208195	Is a	19700101	20991231	
3045602	36210388	Has Answer	19700101	20991231	
3045602	36210423	Has Answer	19700101	20991231	
3045603	1029636	Has property	20191213	20991231	
3045603	1029816	Has time aspect	20191213	20991231	
3045603	1032855	Has component	20191213	20991231	
3045603	1033749	Has scale type	20191213	20991231	
3045603	3043336	Contained in panel	19700101	20991231	
3045603	3045603	Mapped from	19700101	20991231	
3045603	3045603	Maps to	19700101	20991231	
3045603	36210656	Is a	19700101	20991231	
3045603	45876109	Is a	19700101	20991231	
3045603	45884944	Has Answer	19700101	20991231	
3045605	1029816	Has time aspect	20191213	20991231	
3045605	1033211	Has system	20191213	20991231	
3045605	1033751	Has scale type	20191213	20991231	
3045605	3045605	Mapped from	20060220	20991231	
3045605	3045605	Maps to	20060220	20991231	
3045605	40776382	Has component	20191213	20991231	
3045605	45876016	Is a	19700101	20991231	
3045606	1015176	Has property	20191213	20991231	
3045606	1029077	Has method	20191213	20991231	
3045606	1029816	Has time aspect	20191213	20991231	
3045606	1033211	Has system	20191213	20991231	
3045606	1033749	Has scale type	20191213	20991231	
3045606	3045606	Mapped from	20060104	20991231	
3045606	3045606	Maps to	20060104	20991231	
3045606	45876016	Is a	19700101	20991231	
3045609	1015176	Has property	20191213	20991231	
3045609	1029816	Has time aspect	20191213	20991231	
3045609	1033749	Has scale type	20191213	20991231	
3045609	3045609	Mapped from	19700101	20991231	
3045609	3045609	Maps to	19700101	20991231	
3045609	45876016	Is a	19700101	20991231	
3045612	1029636	Has property	20191213	20991231	
3045612	1029816	Has time aspect	20191213	20991231	
3045612	3045612	Mapped from	20060119	20991231	
3045612	3045612	Maps to	20060119	20991231	
3045612	37026013	Is a	19700101	20991231	
3045612	42530474	Has system	20191213	20991231	
3045612	45875980	Is a	19700101	20991231	
3045613	1029597	Has property	20191213	20991231	
3045613	1029816	Has time aspect	20191213	20991231	
3045613	3043336	Panel contains	19700101	20991231	
3045613	3045613	Mapped from	19700101	20991231	
3045613	3045613	Maps to	19700101	20991231	
3045613	36210656	Is a	19700101	20991231	
3045613	45876077	Is a	19700101	20991231	
3045615	1029636	Has property	20191213	20991231	
3045615	1029816	Has time aspect	20191213	20991231	
3045615	1032779	Has component	20191213	20991231	
3045615	1033749	Has scale type	20191213	20991231	
3045615	3045615	Mapped from	19700101	20991231	
3045615	3045615	Maps to	19700101	20991231	
3045615	36210656	Is a	19700101	20991231	
3045615	45876109	Is a	19700101	20991231	
3045615	45877994	Has Answer	19700101	20991231	
3045615	45878245	Has Answer	19700101	20991231	
3045617	1029816	Has time aspect	20191213	20991231	
3045617	3045617	Mapped from	20060418	20991231	
3045617	3045617	Maps to	20060418	20991231	
3045617	40786381	Has component	20191213	20991231	
3045617	45876016	Is a	19700101	20991231	
3045619	1029636	Has property	20191213	20991231	
3045619	1029816	Has time aspect	20191213	20991231	
3045619	1031950	Has component	20191213	20991231	
3045619	1033749	Has scale type	20191213	20991231	
3045619	3044741	Contained in panel	19700101	20991231	
3045619	3045619	Mapped from	19700101	20991231	
3045619	3045619	Maps to	19700101	20991231	
3045619	36210656	Is a	19700101	20991231	
3045619	45876109	Is a	19700101	20991231	
3045622	1019648	Has system	20191213	20991231	
3045622	1029816	Has time aspect	20191213	20991231	
3045622	3045622	Mapped from	20060317	20991231	
3045622	3045622	Maps to	20060317	20991231	
3045622	36207527	Is a	19700101	20991231	
3045623	1029816	Has time aspect	20191213	20991231	
3045623	1033751	Has scale type	20191213	20991231	
3045623	3045623	Mapped from	19700101	20991231	
3045623	3045623	Maps to	19700101	20991231	
3045623	3045657	Contained in panel	19700101	20991231	
3045623	36210656	Is a	19700101	20991231	
3045623	45876109	Is a	19700101	20991231	
3045626	36208195	Is a	19700101	20991231	
3045626	45875996	Is a	19700101	20991231	
3045627	1029733	Has property	20191213	20991231	
3045627	1029790	Has time aspect	20191213	20991231	
3045627	1033751	Has scale type	20191213	20991231	
3045627	3045627	Mapped from	19700101	20991231	
3045627	3045627	Maps to	19700101	20991231	
3045627	37053545	Has component	20191213	20991231	
3045627	40656346	Is a	20180615	20991231	
3045627	45876002	Is a	19700101	20991231	
3045629	3016669	Concept replaced by	19700101	20991231	
3045629	3016669	Maps to	19700101	20991231	
3045629	45876016	Is a	19700101	20991231	
3045632	1029597	Has property	20191213	20991231	
3045632	1029816	Has time aspect	20191213	20991231	
3045632	1032999	Has component	20191213	20991231	
3045632	3043019	Panel contains	19700101	20991231	
3045632	3044488	Panel contains	19700101	20991231	
3045632	3045250	Panel contains	19700101	20991231	
3045632	3045632	Mapped from	19700101	20991231	
3045632	3045632	Maps to	19700101	20991231	
3045632	36210656	Is a	19700101	20991231	
3045632	45876077	Is a	19700101	20991231	
3045633	1014770	Has method	20191213	20991231	
3045633	1024892	Has component	20191213	20991231	
3045633	1029636	Has property	20191213	20991231	
3045633	1029816	Has time aspect	20191213	20991231	
3045633	3045633	Mapped from	20060303	20991231	
3045633	3045633	Maps to	20060303	20991231	
3045633	37047323	Is a	19700101	20991231	
3045633	42529733	Has system	20191213	20991231	
3045633	45875980	Is a	19700101	20991231	
3045638	1029597	Has property	20191213	20991231	
3045638	1029816	Has time aspect	20191213	20991231	
3045638	3045638	Mapped from	19700101	20991231	
3045638	3045638	Maps to	19700101	20991231	
3045638	3045964	Panel contains	19700101	20991231	
3045638	3047031	Panel contains	19700101	20991231	
3045638	36210656	Is a	19700101	20991231	
3045638	45876077	Is a	19700101	20991231	
3045641	1012735	Has property	20191213	20991231	
3045641	1029816	Has time aspect	20191213	20991231	
3045641	1033749	Has scale type	20191213	20991231	
3045641	3045641	Mapped from	19700101	20991231	
3045641	3045641	Maps to	19700101	20991231	
3045641	37067372	Is a	19700101	20991231	
3045641	40655735	Is a	20180615	20991231	
3045641	45876016	Is a	19700101	20991231	
3045643	1029636	Has property	20191213	20991231	
3045643	1029816	Has time aspect	20191213	20991231	
3045643	1033749	Has scale type	20191213	20991231	
3045643	3044793	Contained in panel	19700101	20991231	
3045643	3045643	Mapped from	19700101	20991231	
3045643	3045643	Maps to	19700101	20991231	
3045643	36210656	Is a	19700101	20991231	
3045643	45876109	Is a	19700101	20991231	
3045643	45877994	Has Answer	19700101	20991231	
3045643	45878245	Has Answer	19700101	20991231	
3045644	1014530	Has time aspect	20191213	20991231	
3045644	1033751	Has scale type	20191213	20991231	
3045644	3045644	Mapped from	19700101	20991231	
3045644	3045644	Maps to	19700101	20991231	
3045644	3046448	Contained in panel	19700101	20991231	
3045644	36210656	Is a	19700101	20991231	
3045644	45876109	Is a	19700101	20991231	
3045645	1029636	Has property	20191213	20991231	
3045645	1029816	Has time aspect	20191213	20991231	
3045645	1033749	Has scale type	20191213	20991231	
3045645	3044383	Contained in panel	19700101	20991231	
3045645	3045645	Mapped from	19700101	20991231	
3045645	3045645	Maps to	19700101	20991231	
3045645	36210656	Is a	19700101	20991231	
3045645	45876109	Is a	19700101	20991231	
3045645	45877994	Has Answer	19700101	20991231	
3045645	45878245	Has Answer	19700101	20991231	
3045648	1015176	Has property	20191213	20991231	
3045648	1029816	Has time aspect	20191213	20991231	
3045648	1033211	Has system	20191213	20991231	
3045648	1033749	Has scale type	20191213	20991231	
3045648	3045648	Mapped from	20060221	20991231	
3045648	3045648	Maps to	20060221	20991231	
3045648	45876016	Is a	19700101	20991231	
3045649	1029650	Has property	20191213	20991231	
3045649	1029816	Has time aspect	20191213	20991231	
3045649	1033751	Has scale type	20191213	20991231	
3045649	3045649	Mapped from	19700101	20991231	
3045649	3045649	Maps to	19700101	20991231	
3045649	37032888	Is a	19700101	20991231	
3045649	45876002	Is a	19700101	20991231	
3045652	1015176	Has property	20191213	20991231	
3045652	1029816	Has time aspect	20191213	20991231	
3045652	1033211	Has system	20191213	20991231	
3045652	1033749	Has scale type	20191213	20991231	
3045652	3045652	Mapped from	19700101	20991231	
3045652	3045652	Maps to	19700101	20991231	
3045652	4005538	Is a	20191213	20991231	
3045652	45876016	Is a	19700101	20991231	
3045656	1014908	Has method	20191213	20991231	
3045656	1029636	Has property	20191213	20991231	
3045656	1029816	Has time aspect	20191213	20991231	
3045656	3045656	Mapped from	19700101	20991231	
3045656	3045656	Maps to	19700101	20991231	
3045656	45875980	Is a	19700101	20991231	
3045657	1029597	Has property	20191213	20991231	
3045657	1029816	Has time aspect	20191213	20991231	
3045657	1032190	Has component	20191213	20991231	
3045657	3043879	Panel contains	19700101	20991231	
3045657	3044450	Contained in panel	19700101	20991231	
3045657	3045623	Panel contains	19700101	20991231	
3045657	3045657	Mapped from	19700101	20991231	
3045657	3045657	Maps to	19700101	20991231	
3045657	3045847	Panel contains	19700101	20991231	
3045657	36210656	Is a	19700101	20991231	
3045657	45876077	Is a	19700101	20991231	
3045658	1029636	Has property	20191213	20991231	
3045658	1029816	Has time aspect	20191213	20991231	
3045658	1033406	Has component	20191213	20991231	
3045658	1033749	Has scale type	20191213	20991231	
3045658	3045658	Mapped from	19700101	20991231	
3045658	3045658	Maps to	19700101	20991231	
3045658	36210656	Is a	19700101	20991231	
3045658	45876109	Is a	19700101	20991231	
3045658	45879933	Has Answer	19700101	20991231	
3045659	1015176	Has property	20191213	20991231	
3045659	1029258	Has method	20191213	20991231	
3045659	1029816	Has time aspect	20191213	20991231	
3045659	1029857	Has system	20191213	20991231	
3045659	1033749	Has scale type	20191213	20991231	
3045659	3045659	Mapped from	20051213	20991231	
3045659	3045659	Maps to	20051213	20991231	
3045659	37023037	Has component	20191213	20991231	
3045659	45876016	Is a	19700101	20991231	
3045662	1029790	Has time aspect	20191213	20991231	
3045662	1033751	Has scale type	20191213	20991231	
3045662	3045662	Mapped from	19700101	20991231	
3045662	3045662	Maps to	19700101	20991231	
3045662	37055684	Has component	20191213	20991231	
3045662	40656120	Is a	20180615	20991231	
3045662	45876002	Is a	19700101	20991231	
3045663	1029636	Has property	20191213	20991231	
3045663	1033415	Has component	20191213	20991231	
3045663	1033749	Has scale type	20191213	20991231	
3045663	3045663	Mapped from	19700101	20991231	
3045663	3045663	Maps to	19700101	20991231	
3045663	36210656	Is a	19700101	20991231	
3045663	40757654	Contained in panel	19700101	20991231	
3045663	45876102	Is a	19700101	20991231	
3045663	45879043	Has Answer	19700101	20991231	
3045663	45882106	Has Answer	19700101	20991231	
3045663	45883670	Has Answer	19700101	20991231	
3045664	1029636	Has property	20191213	20991231	
3045664	1029816	Has time aspect	20191213	20991231	
3045664	1033749	Has scale type	20191213	20991231	
3045664	3045664	Mapped from	19700101	20991231	
3045664	3045664	Maps to	19700101	20991231	
3045664	36210656	Is a	19700101	20991231	
3045664	45876109	Is a	19700101	20991231	
3045664	45877994	Has Answer	19700101	20991231	
3045664	45878245	Has Answer	19700101	20991231	
3045666	1026166	Has system	20191213	20991231	
3045666	1029816	Has time aspect	20191213	20991231	
3045666	3045666	Mapped from	19700101	20991231	
3045666	3045666	Maps to	19700101	20991231	
3045666	37030788	Is a	19700101	20991231	
3045666	37064306	Has component	20191213	20991231	
3045666	40653914	Is a	20180615	20991231	
3045667	1029636	Has property	20191213	20991231	
3045667	1029816	Has time aspect	20191213	20991231	
3045667	3045667	Mapped from	20060217	20991231	
3045667	3045667	Maps to	20060217	20991231	
3045667	37059241	Is a	19700101	20991231	
3045667	40654142	Is a	20180615	20991231	
3045667	40772887	Has system	20191213	20991231	
3045667	45875980	Is a	19700101	20991231	
3045668	1029636	Has property	20191213	20991231	
3045668	1029816	Has time aspect	20191213	20991231	
3045668	1033749	Has scale type	20191213	20991231	
3045668	3045668	Mapped from	19700101	20991231	
3045668	3045668	Maps to	19700101	20991231	
3045668	21491691	Contained in panel	19700101	20991231	
3045668	36210656	Is a	19700101	20991231	
3045668	45876109	Is a	19700101	20991231	
3045668	45877994	Has Answer	19700101	20991231	
3045668	45878245	Has Answer	19700101	20991231	
3045669	1029597	Has property	20191213	20991231	
3045669	1029816	Has time aspect	20191213	20991231	
3045669	1033306	Has system	20191213	20991231	
3045669	1033751	Has scale type	20191213	20991231	
3045669	3016103	Panel contains	19700101	20991231	
3045669	3020622	Panel contains	19700101	20991231	
3045669	3021664	Panel contains	19700101	20991231	
3045669	3025461	Panel contains	19700101	20991231	
3045669	3030602	Panel contains	19700101	20991231	
3045669	3030890	Panel contains	19700101	20991231	
3045669	3030898	Panel contains	19700101	20991231	
3045669	3031135	Panel contains	19700101	20991231	
3045669	3031146	Panel contains	19700101	20991231	
3045669	3031157	Panel contains	19700101	20991231	
3045669	3031167	Panel contains	19700101	20991231	
3045669	3031194	Panel contains	19700101	20991231	
3045669	3031445	Panel contains	19700101	20991231	
3045669	3031477	Panel contains	19700101	20991231	
3045669	3032325	Panel contains	19700101	20991231	
3045669	3032337	Panel contains	19700101	20991231	
3045669	3032380	Panel contains	19700101	20991231	
3045669	3032635	Panel contains	19700101	20991231	
3045669	3032643	Panel contains	19700101	20991231	
3045669	3032660	Panel contains	19700101	20991231	
3045669	3032884	Panel contains	19700101	20991231	
3045669	3032897	Panel contains	19700101	20991231	
3045669	3032911	Panel contains	19700101	20991231	
3045669	3032924	Panel contains	19700101	20991231	
3045669	3037588	Panel contains	19700101	20991231	
3045669	3045669	Mapped from	20060126	20991231	
3045669	3045669	Maps to	20060126	20991231	
3045669	21491415	Panel contains	19700101	20991231	
3045669	21491419	Panel contains	19700101	20991231	
3045669	21491423	Panel contains	19700101	20991231	
3045669	37024471	Is a	19700101	20991231	
3045669	37054166	Has component	20191213	20991231	
3045669	45876033	Is a	19700101	20991231	
3045671	45876016	Is a	19700101	20991231	
3045672	1025973	Has method	20191213	20991231	
3045672	1027713	Has system	20191213	20991231	
3045672	1029636	Has property	20191213	20991231	
3045672	1029816	Has time aspect	20191213	20991231	
3045672	1031233	Has component	20191213	20991231	
3045672	3045672	Mapped from	20060313	20991231	
3045672	3045672	Maps to	20060313	20991231	
3045672	36208195	Is a	19700101	20991231	
3045672	45876055	Is a	19700101	20991231	
3045675	1029636	Has property	20191213	20991231	
3045675	1029816	Has time aspect	20191213	20991231	
3045675	3045675	Mapped from	20060125	20991231	
3045675	3045675	Maps to	20060125	20991231	
3045675	40654134	Is a	20180615	20991231	
3045675	45875980	Is a	19700101	20991231	
3045677	1012531	Has property	20191213	20991231	
3045677	1029816	Has time aspect	20191213	20991231	
3045677	1033751	Has scale type	20191213	20991231	
3045677	3045677	Mapped from	19700101	20991231	
3045677	3045677	Maps to	19700101	20991231	
3045677	45876016	Is a	19700101	20991231	
3045679	1029597	Has property	20191213	20991231	
3045679	1029816	Has time aspect	20191213	20991231	
3045679	3045679	Mapped from	19700101	20991231	
3045679	3045679	Maps to	19700101	20991231	
3045679	3045904	Panel contains	19700101	20991231	
3045679	36210656	Is a	19700101	20991231	
3045679	45876077	Is a	19700101	20991231	
3045680	1029636	Has property	20191213	20991231	
3045680	1029816	Has time aspect	20191213	20991231	
3045680	1033749	Has scale type	20191213	20991231	
3045680	3045680	Mapped from	19700101	20991231	
3045680	3045680	Maps to	19700101	20991231	
3045680	36210656	Is a	19700101	20991231	
3045680	45876109	Is a	19700101	20991231	
3045680	45877994	Has Answer	19700101	20991231	
3045680	45878245	Has Answer	19700101	20991231	
3045681	1024733	Has component	20191213	20991231	
3045681	1029636	Has property	20191213	20991231	
3045681	1029816	Has time aspect	20191213	20991231	
3045681	3045681	Mapped from	19700101	20991231	
3045681	3045681	Maps to	19700101	20991231	
3045681	37068576	Is a	19700101	20991231	
3045681	40654137	Is a	20180615	20991231	
3045681	40656810	Is a	20180615	20991231	
3045681	45875980	Is a	19700101	20991231	
3045685	1029650	Has property	20191213	20991231	
3045685	1029816	Has time aspect	20191213	20991231	
3045685	1033211	Has system	20191213	20991231	
3045685	1033751	Has scale type	20191213	20991231	
3045685	3045685	Mapped from	20030127	20991231	
3045685	3045685	Maps to	20030127	20991231	
3045685	40772795	Has component	20191213	20991231	
3045685	45876057	Is a	19700101	20991231	
3045686	1019594	Has system	20191213	20991231	
3045686	1029597	Has property	20191213	20991231	
