concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
40642539	4123227	Module of	20220128	20991231	
40642538	46258351	Status of	20220128	20991231	
35631990	46258351	Module of	20220128	20991231	
40642537	4120757	Status of	20220128	20991231	
40642539	4120757	Module of	20220128	20991231	
40642538	46264146	Status of	20220128	20991231	
35631990	46264146	Module of	20220128	20991231	
40642538	4123228	Status of	20220128	20991231	
40642539	4123228	Module of	20220128	20991231	
40642538	600796	Status of	20220128	20991231	
40642539	600796	Module of	20220128	20991231	
40642537	4123556	Status of	20220128	20991231	
40642539	4123556	Module of	20220128	20991231	
4006473	4103387	Subsumes	20220128	20991231	
4180651	4103387	Subsumes	20220128	20991231	
4178826	4103387	Subsumes	20220128	20991231	
40642538	4103387	Status of	20220128	20991231	
40642539	4103387	Module of	20220128	20991231	
40642538	3604378	Status of	20220128	20991231	
35631990	3604378	Module of	20220128	20991231	
40642538	45975139	Status of	20220128	20991231	
35631990	45975139	Module of	20220128	20991231	
40642537	4123229	Status of	20220128	20991231	
40642539	4123229	Module of	20220128	20991231	
40642538	46258354	Status of	20220128	20991231	
35631990	46258354	Module of	20220128	20991231	
40642537	4123557	Status of	20220128	20991231	
40642539	4123557	Module of	20220128	20991231	
40642538	46258355	Status of	20220128	20991231	
35631990	46258355	Module of	20220128	20991231	
40642538	4127511	Status of	20220128	20991231	
40642539	4127511	Module of	20220128	20991231	
40642538	46258356	Status of	20220128	20991231	
35631990	46258356	Module of	20220128	20991231	
40642537	4120759	Status of	20220128	20991231	
40642539	4120759	Module of	20220128	20991231	
40642538	46258357	Status of	20220128	20991231	
35631990	46258357	Module of	20220128	20991231	
40642537	4120761	Status of	20220128	20991231	
40642539	4120761	Module of	20220128	20991231	
40642537	4120762	Status of	20220128	20991231	
40642539	4120762	Module of	20220128	20991231	
40642538	4123230	Status of	20220128	20991231	
40642539	4123230	Module of	20220128	20991231	
40642538	3526428	Status of	20220128	20991231	
40642537	4120763	Status of	20220128	20991231	
40642539	4120763	Module of	20220128	20991231	
40642537	4120764	Status of	20220128	20991231	
40642539	4120764	Module of	20220128	20991231	
40642538	46258360	Status of	20220128	20991231	
35631990	46258360	Module of	20220128	20991231	
40642537	4127512	Status of	20220128	20991231	
40642539	4127512	Module of	20220128	20991231	
40642538	4123560	Status of	20220128	20991231	
40642539	4123560	Module of	20220128	20991231	
40642537	4127513	Status of	20220128	20991231	
40642539	4127513	Module of	20220128	20991231	
40642538	46258363	Status of	20220128	20991231	
35631990	46258363	Module of	20220128	20991231	
40642537	4127514	Status of	20220128	20991231	
40642539	4127514	Module of	20220128	20991231	
40642538	3548303	Status of	20220128	20991231	
35631990	3548303	Module of	20220128	20991231	
40642538	3526429	Status of	20220128	20991231	
40642537	37018688	Status of	20220128	20991231	
40642539	37018688	Module of	20220128	20991231	
40642538	46258364	Status of	20220128	20991231	
35631990	46258364	Module of	20220128	20991231	
40642538	46264158	Status of	20220128	20991231	
35631990	46264158	Module of	20220128	20991231	
40642538	4120767	Status of	20220128	20991231	
40642539	4120767	Module of	20220128	20991231	
40642538	46258365	Status of	20220128	20991231	
35631990	46258365	Module of	20220128	20991231	
40642537	4123232	Status of	20220128	20991231	
40642539	4123232	Module of	20220128	20991231	
40642537	4123561	Status of	20220128	20991231	
40642539	4123561	Module of	20220128	20991231	
40642538	46258366	Status of	20220128	20991231	
35631990	46258366	Module of	20220128	20991231	
40642537	4123233	Status of	20220128	20991231	
40642539	4123233	Module of	20220128	20991231	
40642538	46264160	Status of	20220128	20991231	
35631990	46264160	Module of	20220128	20991231	
40642537	4123234	Status of	20220128	20991231	
40642539	4123234	Module of	20220128	20991231	
40642537	4120768	Status of	20220128	20991231	
40642539	4120768	Module of	20220128	20991231	
40642538	46264161	Status of	20220128	20991231	
35631990	46264161	Module of	20220128	20991231	
40642538	4103853	Status of	20220128	20991231	
40642539	4103853	Module of	20220128	20991231	
40642537	4123235	Status of	20220128	20991231	
40642539	4123235	Module of	20220128	20991231	
40642538	46113422	Status of	20220128	20991231	
35631990	46113422	Module of	20220128	20991231	
40642537	4120769	Status of	20220128	20991231	
40642539	4120769	Module of	20220128	20991231	
40642537	4120770	Status of	20220128	20991231	
40642539	4120770	Module of	20220128	20991231	
40642538	46264162	Status of	20220128	20991231	
35631990	46264162	Module of	20220128	20991231	
40642537	4127519	Status of	20220128	20991231	
40642539	4127519	Module of	20220128	20991231	
40642538	4123354	Status of	20220128	20991231	
40642539	4123354	Module of	20220128	20991231	
40642537	4123355	Status of	20220128	20991231	
40642539	4123355	Module of	20220128	20991231	
40642537	4123562	Status of	20220128	20991231	
40642539	4123562	Module of	20220128	20991231	
40642538	46264164	Status of	20220128	20991231	
35631990	46264164	Module of	20220128	20991231	
40642538	3604380	Status of	20220128	20991231	
35631990	3604380	Module of	20220128	20991231	
40642538	3526431	Status of	20220128	20991231	
40642538	46264165	Status of	20220128	20991231	
35631990	46264165	Module of	20220128	20991231	
40642537	4127521	Status of	20220128	20991231	
40642539	4127521	Module of	20220128	20991231	
40642538	46258373	Status of	20220128	20991231	
35631990	46258373	Module of	20220128	20991231	
40642538	46264166	Status of	20220128	20991231	
35631990	46264166	Module of	20220128	20991231	
40642537	4127523	Status of	20220128	20991231	
40642539	4127523	Module of	20220128	20991231	
40642538	46258374	Status of	20220128	20991231	
35631990	46258374	Module of	20220128	20991231	
40642538	46264167	Status of	20220128	20991231	
35631990	46264167	Module of	20220128	20991231	
40642538	4123359	Status of	20220128	20991231	
40642539	4123359	Module of	20220128	20991231	
40642537	4123360	Status of	20220128	20991231	
