concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
42027409	Ricote	Geography	OSM	8th level	S	340615	19700101	20991231	
42023670	Cubillas de Cerrato	Geography	OSM	8th level	S	340616	19700101	20991231	
42023736	Dehesa de Montejo	Geography	OSM	8th level	S	340617	19700101	20991231	
42023503	Cobos de Cerrato	Geography	OSM	8th level	S	340618	19700101	20991231	
42023532	Collazos de Boedo	Geography	OSM	8th level	S	340619	19700101	20991231	
42023562	Congosto de Valdavia	Geography	OSM	8th level	S	340620	19700101	20991231	
42023591	Cordovilla la Real	Geography	OSM	8th level	S	340621	19700101	20991231	
42024639	Guarromán	Geography	OSM	8th level	S	340622	19700101	20991231	
42025105	La Guardia de Jaén	Geography	OSM	8th level	S	340623	19700101	20991231	
42024529	Génave	Geography	OSM	8th level	S	340624	19700101	20991231	
42024407	Fuerte del Rey	Geography	OSM	8th level	S	340625	19700101	20991231	
42024333	Fuensanta de Martos	Geography	OSM	8th level	S	340626	19700101	20991231	
42024289	Frailes	Geography	OSM	8th level	S	340627	19700101	20991231	
42024096	Espeluy	Geography	OSM	8th level	S	340628	19700101	20991231	
42024050	Escañuela	Geography	OSM	8th level	S	340629	19700101	20991231	
42023421	Chilluévar	Geography	OSM	8th level	S	340630	19700101	20991231	
42029697	Zalamea de la Serena	Geography	OSM	8th level	S	340636	19700101	20991231	
42029725	Zarza-Capilla	Geography	OSM	8th level	S	340637	19700101	20991231	
42025407	La Zarza	Geography	OSM	8th level	S	340638	19700101	20991231	
42026350	Murueta	Geography	OSM	8th level	S	340639	19700101	20991231	
42026347	Nabarniz	Geography	OSM	8th level	S	340640	19700101	20991231	
42023746	Derio	Geography	OSM	8th level	S	340641	19700101	20991231	
42021214	Aldeanueva de Guadalajara	Geography	OSM	8th level	S	340642	19700101	20991231	
42021289	Algar de Mesa	Geography	OSM	8th level	S	340643	19700101	20991231	
42021302	Algora	Geography	OSM	8th level	S	340644	19700101	20991231	
42021161	Alcolea de las Peñas	Geography	OSM	8th level	S	340645	19700101	20991231	
42021163	Alcolea del Pinar	Geography	OSM	8th level	S	340646	19700101	20991231	
42021178	Alcoroches	Geography	OSM	8th level	S	340647	19700101	20991231	
42028272	Sondika	Geography	OSM	8th level	S	340648	19700101	20991231	
42021303	Alhóndiga	Geography	OSM	8th level	S	340649	19700101	20991231	
42021276	Alique	Geography	OSM	8th level	S	340650	19700101	20991231	
42022667	Burujón	Geography	OSM	8th level	S	340651	19700101	20991231	
42021396	Almensilla	Geography	OSM	8th level	S	340652	19700101	20991231	
42022684	Cabañas de Yepes	Geography	OSM	8th level	S	340653	19700101	20991231	
42022698	Cabezamesada	Geography	OSM	8th level	S	340654	19700101	20991231	
42022305	Belvís de la Jara	Geography	OSM	8th level	S	340656	19700101	20991231	
42022563	Borox	Geography	OSM	8th level	S	340657	19700101	20991231	
41891329	Houtain-le-Val	Geography	OSM	9th level	S	3406578	19700101	20991231	
42025520	Llamas de la Ribera	Geography	OSM	8th level	S	340658	19700101	20991231	
41891944	Vieux-Genappe	Geography	OSM	9th level	S	3406584	19700101	20991231	
41891481	Loupoigne	Geography	OSM	9th level	S	3406586	19700101	20991231	
42022558	Bormujos	Geography	OSM	8th level	S	340659	19700101	20991231	
42022657	Burguillos de Toledo	Geography	OSM	8th level	S	340660	19700101	20991231	
42021139	Alcàsser	Geography	OSM	8th level	S	340661	19700101	20991231	
41891201	Genappe	Geography	OSM	9th level	S	3406613	19700101	20991231	
42022120	Barbadás	Geography	OSM	8th level	S	340662	19700101	20991231	
42026499	O Barco de Valdeorras	Geography	OSM	8th level	S	340663	19700101	20991231	
42050897	Shute	Geography	OSM	10th level	S	3406635	19700101	20991231	
41891983	Ways	Geography	OSM	9th level	S	3406636	19700101	20991231	
42027146	Prioro	Geography	OSM	8th level	S	340664	19700101	20991231	
42026841	Pedro Bernardo	Geography	OSM	8th level	S	340665	19700101	20991231	
42026813	Pascualcobo	Geography	OSM	8th level	S	340666	19700101	20991231	
42023908	El Parral	Geography	OSM	8th level	S	340667	19700101	20991231	
42026956	Piedralaves	Geography	OSM	8th level	S	340668	19700101	20991231	
42026955	Piedrahíta	Geography	OSM	8th level	S	340669	19700101	20991231	
42002943	Kanda-Surugadai	Geography	OSM	9th level	S	3406698	19700101	20991231	
42026882	Peñalba de Ávila	Geography	OSM	8th level	S	340670	19700101	20991231	
42026862	Peguerinos	Geography	OSM	8th level	S	340671	19700101	20991231	
42049558	Pillerton Hersey CP	Geography	OSM	10th level	S	3406717	19700101	20991231	
42008591	1-chome	Geography	OSM	10th level	S	3406718	19700101	20991231	
42027364	Reyero	Geography	OSM	8th level	S	340672	19700101	20991231	
42006071	2-chome	Geography	OSM	10th level	S	3406724	19700101	20991231	
42049560	Pillerton Priors CP	Geography	OSM	10th level	S	3406725	19700101	20991231	
42027071	Poyales del Hoyo	Geography	OSM	8th level	S	340673	19700101	20991231	
42041064	Dalwood	Geography	OSM	10th level	S	3406734	19700101	20991231	
42003167	3-chome	Geography	OSM	10th level	S	3406736	19700101	20991231	
42027083	Poveda	Geography	OSM	8th level	S	340674	19700101	20991231	
42022093	Bande	Geography	OSM	8th level	S	340675	19700101	20991231	
42029516	Villarrín de Campos	Geography	OSM	8th level	S	340676	19700101	20991231	
42029518	Villaseco del Pan	Geography	OSM	8th level	S	340677	19700101	20991231	
42009087	4-chome	Geography	OSM	10th level	S	3406778	19700101	20991231	
42022088	Baños de Molgas	Geography	OSM	8th level	S	340678	19700101	20991231	
42026736	Palazuelos de la Sierra	Geography	OSM	8th level	S	340679	19700101	20991231	
42026733	Palazuelos de Muñó	Geography	OSM	8th level	S	340680	19700101	20991231	
42021506	Amoeiro	Geography	OSM	8th level	S	340681	19700101	20991231	
42051563	Stockland	Geography	OSM	10th level	S	3406814	19700101	20991231	
42026634	Orbaneja Riopico	Geography	OSM	8th level	S	340682	19700101	20991231	
41931092	Saint Pierre and Miquelon	Geography	OSM	3rd level	S	3406826	19700101	20991231	
42026704	Padilla de Abajo	Geography	OSM	8th level	S	340683	19700101	20991231	
42026705	Padilla de Arriba	Geography	OSM	8th level	S	340684	19700101	20991231	
42024062	Padrones de Bureba	Geography	OSM	8th level	S	340685	19700101	20991231	
42026716	Palacios de la Sierra	Geography	OSM	8th level	S	340686	19700101	20991231	
42026719	Palacios de Riopisuerga	Geography	OSM	8th level	S	340687	19700101	20991231	
41992929	Schmiedeberg (Erzgebirge)	Geography	OSM	10th level	S	3406875	19700101	20991231	
42022783	Donhierro	Geography	OSM	8th level	S	340688	19700101	20991231	
42023897	el Masnou	Geography	OSM	8th level	S	340689	19700101	20991231	
